model,experiment,accuracy,macro_f1,weighted_f1,mcc,ece,brier_score,macro_precision,macro_recall,weighted_precision,weighted_recall,cohen_kappa,ece_10_bins,mean_confidence,seconds,min_weight,weight_schedule,seed,calibration_method,n_bins,top_k,used_agreement_weights,base_model,ablation_flags,train_plus_infer_seconds,train_rows,test_rows,device,model_name,mean_entropy,abstention_coverage,abstention_accuracy,structured_features_used
tfidf_sgd_log_loss,classical_baselines,0.4681719260065288,0.4368524579292334,0.4300606388979791,0.2330407729390388,,0.644629384861235,0.5031445099612485,0.4780604276024227,0.5074547685087692,0.4681719260065288,0.2096492868061893,0.0890578677653527,0.5572297937718815,,,,42,,,,,,,0.5425566000049002,8036.0,3676.0,,,,,,
tfidf_xgboost,classical_baselines,0.4170293797606093,0.3456882065898427,0.3434459255784854,0.1937731762976494,,0.7136983644506503,0.5677740199115419,0.4178593504684582,0.5719870398740278,0.4170293797606093,0.1250667500690824,0.1885490123997316,0.604773998260498,,,,42,,,,,,,14.169415800017305,8036.0,3676.0,,,,,,
finbert_base_zero_shot_ProsusAI/finbert,finbert,0.5280195865070729,0.5239247383720387,0.5229682979295052,0.2949504955456311,,0.7424740764955814,0.5248223788084346,0.5308970958864204,0.5262429778980188,0.5280195865070729,0.2926057712346874,0.3069640202559247,0.8347788453102112,,,,42,,,,,,,,,3676.0,cpu,ProsusAI/finbert,0.4571610987186432,0.9009793253536452,0.5480072463768116,
no_retrieval_linear_svm,retrieval,0.5038084874863983,0.4840749095684636,0.4791461202906634,0.280054177661817,,,0.5287021499277248,0.5129479787892698,0.5333453523800544,0.5038084874863983,0.2620747741742283,,,0.5030910999630578,,,42,,,3.0,,,,,,,,,,,,
no_retrieval_logistic_regression,retrieval,0.4825897714907508,0.4536672701976996,0.4456670667082162,0.2562316545419854,,0.6470492710105573,0.5229757616667611,0.4964640019434276,0.5292587986246131,0.4825897714907508,0.2347375791216047,0.0971489600847808,0.5789390512892718,1.561256200016942,,,42,,,3.0,,,,,,,,,,,,
retrieval_linear_svm,retrieval,0.4575625680087051,0.4436555946082461,0.4408038959483996,0.2014509208160864,,,0.4679698943973866,0.4642031794989688,0.4720198861142129,0.4575625680087051,0.1924591635157093,,,1.346782799984794,,,42,,,3.0,,,,,,,,,,,,
retrieval_logistic_regression,retrieval,0.456746463547334,0.4393203485917831,0.4338936635830726,0.2062397544316556,,0.6986236971141153,0.4711128885990742,0.4677409602975453,0.4751909080611538,0.456746463547334,0.1949812079319601,0.1665653481660437,0.618472114955657,2.429219599987846,,,42,,,3.0,,,,,,,,,,,,
tfidf_linear_svm,structured_features,0.5038084874863983,0.4840749095684636,0.4791461202906634,0.280054177661817,,,0.5287021499277248,0.5129479787892698,0.5333453523800544,0.5038084874863983,0.2620747741742283,,,0.0631084000342525,,,42,,,,,,,,,,,,,,,False
tfidf_logistic_regression,structured_features,0.4825897714907508,0.4536672701976996,0.4456670667082162,0.2562316545419854,,0.6470492710105573,0.5229757616667611,0.4964640019434276,0.5292587986246131,0.4825897714907508,0.2347375791216047,0.0971489600847808,0.5789390512892718,0.9917322999681346,,,42,,,,,,,,,,,,,,,False
tfidf_structured_linear_svm,structured_features,0.5054406964091404,0.4820733407446562,0.4763269481939177,0.287086296894643,,,0.5404804684401597,0.5155755384520987,0.5460273953424715,0.5054406964091404,0.2652393206042371,,,1.939683899981901,,,42,,,,,,,,,,,,,,,True
